#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  15600      2.31e-01    2.70e-01      4.60e-04    5.91e-04      1.57e-02    1.84e-02    2.1e-04
  15700      2.60e-01    2.11e-01      2.61e-04    2.47e-04      1.77e-02    1.44e-02    2.1e-04
  15800      2.30e-01    2.17e-01      3.36e-03    3.54e-03      1.56e-02    1.47e-02    2.1e-04
  15900      2.60e-01    2.65e-01      3.13e-03    2.36e-03      1.77e-02    1.80e-02    2.1e-04
  16000      2.36e-01    2.26e-01      2.52e-03    2.10e-03      1.60e-02    1.54e-02    2.1e-04
  16100      2.45e-01    2.28e-01      2.83e-04    2.81e-04      1.67e-02    1.55e-02    2.1e-04
  16200      2.35e-01    2.19e-01      7.44e-04    1.10e-03      1.60e-02    1.49e-02    2.1e-04
  16300      2.37e-01    2.89e-01      1.36e-03    6.27e-04      1.61e-02    1.97e-02    2.1e-04
  16400      2.32e-01    2.66e-01      3.44e-03    3.91e-03      1.57e-02    1.80e-02    2.1e-04
  16500      2.37e-01    3.86e-01      1.15e-03    8.77e-04      1.62e-02    2.63e-02    2.1e-04
  16600      2.43e-01    2.21e-01      4.41e-03    4.19e-03      1.64e-02    1.49e-02    2.1e-04
  16700      2.38e-01    2.80e-01      1.78e-03    1.30e-03      1.62e-02    1.91e-02    2.1e-04
  16800      2.84e-01    2.30e-01      1.70e-03    2.05e-03      1.93e-02    1.57e-02    2.1e-04
  16900      2.37e-01    2.36e-01      3.38e-03    2.48e-03      1.61e-02    1.60e-02    2.1e-04
  17000      2.42e-01    2.32e-01      1.41e-03    1.37e-03      1.65e-02    1.58e-02    2.1e-04
  17100      2.36e-01    2.76e-01      1.61e-03    1.86e-03      1.60e-02    1.88e-02    2.1e-04
  17200      2.41e-01    2.19e-01      4.24e-03    4.64e-03      1.63e-02    1.47e-02    2.1e-04
  17300      2.38e-01    2.74e-01      2.48e-04    5.24e-05      1.62e-02    1.87e-02    2.1e-04
  17400      2.56e-01    2.30e-01      9.04e-04    1.26e-03      1.74e-02    1.57e-02    2.1e-04
  17500      2.35e-01    2.25e-01      1.73e-03    1.82e-03      1.60e-02    1.53e-02    2.1e-04
  17600      2.32e-01    1.85e-01      4.66e-03    4.51e-03      1.56e-02    1.24e-02    2.1e-04
  17700      2.38e-01    2.25e-01      6.66e-03    6.78e-03      1.59e-02    1.49e-02    2.1e-04
  17800      2.33e-01    2.20e-01      1.46e-03    1.26e-03      1.59e-02    1.50e-02    2.1e-04
  17900      2.62e-01    2.74e-01      8.32e-03    7.78e-03      1.74e-02    1.83e-02    2.1e-04
  18000      2.58e-01    2.36e-01      3.38e-03    3.32e-03      1.75e-02    1.60e-02    2.1e-04
  18100      2.48e-01    2.66e-01      1.03e-03    9.71e-04      1.69e-02    1.81e-02    2.1e-04
  18200      2.33e-01    2.46e-01      3.84e-04    7.88e-04      1.58e-02    1.68e-02    2.1e-04
  18300      2.41e-01    2.96e-01      2.92e-03    3.57e-03      1.64e-02    2.01e-02    2.1e-04
  18400      2.69e-01    2.05e-01      1.33e-03    1.30e-03      1.83e-02    1.40e-02    2.1e-04
  18500      2.39e-01    2.21e-01      2.69e-04    6.26e-04      1.63e-02    1.50e-02    2.1e-04
  18600      2.62e-01    2.45e-01      4.41e-03    4.34e-03      1.77e-02    1.66e-02    2.1e-04
  18700      2.31e-01    2.96e-01      1.60e-03    2.18e-03      1.57e-02    2.02e-02    2.1e-04
  18800      2.45e-01    2.73e-01      6.24e-04    4.02e-04      1.67e-02    1.86e-02    2.1e-04
  18900      2.54e-01    2.12e-01      4.35e-04    6.46e-06      1.73e-02    1.45e-02    2.1e-04
  19000      2.40e-01    2.26e-01      1.07e-03    9.91e-04      1.63e-02    1.54e-02    2.1e-04
  19100      2.43e-01    2.78e-01      1.60e-03    1.07e-03      1.65e-02    1.89e-02    2.1e-04
  19200      2.53e-01    2.41e-01      1.68e-03    1.80e-03      1.72e-02    1.64e-02    2.1e-04
  19300      2.30e-01    2.31e-01      1.80e-03    1.77e-03      1.56e-02    1.57e-02    2.1e-04
  19400      2.22e-01    3.64e-01      3.89e-03    3.52e-03      1.50e-02    2.47e-02    2.1e-04
  19500      2.23e-01    2.12e-01      6.26e-03    6.16e-03      1.49e-02    1.41e-02    2.1e-04
  19600      2.30e-01    2.15e-01      1.02e-03    1.05e-03      1.57e-02    1.46e-02    2.1e-04
  19700      2.50e-01    2.58e-01      1.81e-03    1.08e-03      1.70e-02    1.75e-02    2.1e-04
  19800      2.34e-01    2.69e-01      1.43e-03    1.00e-03      1.59e-02    1.83e-02    2.1e-04
  19900      2.48e-01    2.78e-01      1.41e-03    1.37e-03      1.69e-02    1.89e-02    2.1e-04
  20000      1.84e-01    1.89e-01      2.98e-03    2.79e-03      1.61e-02    1.65e-02    1.3e-04
  20100      1.79e-01    1.72e-01      1.27e-03    1.30e-03      1.57e-02    1.51e-02    1.3e-04
  20200      1.85e-01    1.71e-01      3.75e-03    3.66e-03      1.61e-02    1.48e-02    1.3e-04
  20300      1.78e-01    3.40e-01      1.36e-03    1.27e-04      1.56e-02    2.99e-02    1.3e-04
  20400      1.86e-01    1.47e-01      1.87e-03    1.58e-03      1.63e-02    1.29e-02    1.3e-04
  20500      1.95e-01    1.63e-01      1.76e-03    1.43e-03      1.71e-02    1.43e-02    1.3e-04
  20600      1.90e-01    1.61e-01      7.57e-04    7.76e-04      1.67e-02    1.41e-02    1.3e-04
  20700      1.70e-01    1.71e-01      2.24e-03    2.50e-03      1.48e-02    1.49e-02    1.3e-04
